node_code,project_code,latitude,longitude,river_kilometer,location,deploy_date,recovery_date
515,GPUD_2026,46.644777,-119.910971,246.80925099730322,Priest,2026-03-09,NA
516,GPUD_2026,46.645197,-119.910175,246.80925099730322,Priest,2026-03-09,NA
517,GPUD_2026,46.645626,-119.909386,246.80925099730322,Priest,2026-03-09,NA
518,GPUD_2026,46.646061,-119.90855,246.80925099730322,Priest,2026-03-09,NA
520,GPUD_2026,46.644615,-119.910282,246.80925099730322,Priest,2026-03-09,NA
521,GPUD_2026,46.644765,-119.909998,246.80925099730322,Priest,2026-03-09,NA
522,GPUD_2026,46.644267,-119.910691,246.80925099730322,Priest,2026-03-06,2026-07-06
523,GPUD_2026,46.644355,-119.910528,246.80925099730322,Priest,2026-03-06,2026-07-06
524,GPUD_2026,46.644443,-119.910364,246.80925099730322,Priest,2026-03-06,2026-07-06
525,GPUD_2026,46.644674,-119.910175,246.80925099730322,Priest,2026-03-25,2026-07-06
526,GPUD_2026,46.644707,-119.909929,246.80925099730322,Priest,2026-03-25,2026-07-06
527,GPUD_2026,46.644128,-119.911067,246.80925099730322,Priest,2026-05-07,NA
531,GPUD_2026,46.631352,-119.893241,246.0014664396585,Priest Tailrace,2026-04-06,2026-06-16
532,GPUD_2026,46.632263,-119.892734,246.0014664396585,Priest Tailrace,2026-04-06,2026-06-24
601,GPUD_2026,46.637507,-119.741293,241.40330818844993,Vernita Bridge,2026-04-06,2026-07-30
602,GPUD_2026,46.638581,-119.742061,241.40330818844993,Vernita Bridge,2026-04-06,2026-07-28
701,GPUD_2026,46.666948,-119.449482,229.41081437110864,White Bluffs,2026-04-06,2026-06-24
702,GPUD_2026,46.667866,-119.448483,229.41081437110864,White Bluffs,2026-04-06,2026-06-16
801,GPUD_2026,46.456197,-119.264493,218.16396783774718,Lower Ringold,2026-04-08,2026-06-15
801,GPUD_2026,46.456197,-119.264493,218.16396783774718,Lower Ringold,2026-06-15,2026-07-08
802,GPUD_2026,46.456078,-119.263444,218.16396783774718,Lower Ringold,2026-04-08,2026-07-08
803,GPUD_2026,46.455958,-119.262394,218.16396783774718,Lower Ringold,2026-04-08,2026-07-08
804,GPUD_2026,46.455839,-119.261345,218.16396783774718,Lower Ringold,2026-04-08,2026-06-15
804,GPUD_2026,46.455839,-119.261345,218.16396783774718,Lower Ringold,2026-06-15,2026-07-08
805,GPUD_2026,46.455502,-119.263102,218.16396783774718,Lower Ringold,2026-04-08,2026-06-15
901,GPUD_2026,46.294836,-119.266471,210.5832204506195,Hanford,2026-04-08,2026-06-15
901,GPUD_2026,46.294836,-119.266471,210.5832204506195,Hanford,2026-06-15,2026-07-08
902,GPUD_2026,46.294402,-119.265172,210.5832204506195,Hanford,2026-04-08,2026-07-08
903,GPUD_2026,46.293949,-119.263854,210.5832204506195,Hanford,2026-04-08,2026-06-15
903,GPUD_2026,46.293949,-119.263854,210.5832204506195,Hanford,2026-06-15,2026-07-08
904,GPUD_2026,46.293449,-119.2625,210.5832204506195,Hanford,2026-04-08,2026-07-08
905,GPUD_2026,46.292986,-119.261112,210.5832204506195,Hanford,2026-04-08,2026-06-15
905,GPUD_2026,46.292986,-119.261112,210.5832204506195,Hanford,2026-06-15,2026-07-08
906,GPUD_2026,46.29255,-119.259831,210.5832204506195,Hanford,2026-04-08,2026-06-15
906,GPUD_2026,46.29255,-119.259831,210.5832204506195,Hanford,2026-06-15,2026-07-08
